***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.05,,,,,,System Temp (C):,25.5,,,,,,,
Humidity (%):,31.86,,,,,,Humidity (%):,46.33,,,,,,,
Lamp Intensity:,1549,,,,,,Lamp Intensity:,1459,,,,,,,
Data Date-Time:,2021/10/29T15:36:03,,,,,,Data Date-Time:,2021/10/29T14:59:55,,,,,,,
Total Measurement Time in sec:,3.1703624,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 43min 39sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0217804562921077,3461,3639
904.71879766459,-0.00591040607531636,3795,3847
909.91882846218,-0.029282516383689,4129,4417
913.813741916224,-0.0241491679235387,4547,4807
917.704275675283,-0.0338451331566633,4960,5362
921.590429739357,-0.0192849812559148,5616,5871
925.472204108447,-0.0119748010229329,6367,6545
929.349598782552,-0.00576186868594618,7188,7284
933.222613761673,-0.0263356210497598,7646,8124
937.091249045809,-0.0264121047397982,8293,8813
942.242616565792,-0.0206361079527765,9165,9611
946.101032561631,-0.0207515647434637,9501,9966
949.955068862485,-0.0273322512196564,9868,10509
953.804725468354,-0.0287275165683593,10324,11030
957.650002379239,-0.0321961735553293,10799,11630
961.490899595139,-0.03420530884228,11227,12147
965.327417116055,-0.032486084757737,11832,12751
969.159554941986,-0.0350220604342935,12205,13230
972.987313072933,-0.0360469167798188,12722,13823
978.084177721996,-0.0412877088503425,13165,14478
981.901716564645,-0.0385967882793491,13600,14864
985.71487571231,-0.0379128314337496,13977,15252
989.52365516499,-0.0428397895652796,14218,15692
993.328054922685,-0.0416692212415444,14558,16024
997.128074985396,-0.0399105409734097,14836,16264
1000.92371535312,-0.0378562705318039,14965,16328
1004.71497602586,-0.0433327094874158,15087,16670
1009.76317739732,-0.039440493609803,15263,16714
1013.54421878176,-0.037102410055748,15361,16731
1017.32088047122,-0.0384778856125818,15371,16795
1021.0931624657,-0.0317282224673716,15503,16678
1024.86106476519,-0.0368546369035678,15401,16765
1028.62458736969,-0.036751746637372,15412,16773
1032.38373027922,-0.0378780755445678,15362,16762
1036.13849349375,-0.0371709989301384,15365,16738
1039.8888770133,-0.0356925261887342,15387,16705
1044.88257551384,-0.037888164820617,15259,16650
1048.6227397451,-0.037509857769148,15198,16569
1052.35852428137,-0.0351453209004732,15162,16440
1056.08992912265,-0.032471535747684,15135,16310
1059.81695426895,-0.0323904672316526,15071,16238
1063.53959972027,-0.033731640724673,15093,16312
1067.2578654766,-0.0362538601445739,15001,16307
1070.97175153795,-0.0352230184615645,15068,16341
1075.91678676088,-0.032882729049617,15053,16237
1079.62045353393,-0.0333563909306401,15044,16245
1083.31974061199,-0.0351105174146038,14952,16211
1087.01464799507,-0.0328303457111752,15027,16207
1090.70517568317,-0.0332686015887532,15035,16232
1094.39132367628,-0.0345635930481176,14981,16222
1098.0730919744,-0.0355457318501166,15078,16364
1101.75048057755,-0.0364052012131282,14936,16242
1105.4234894857,-0.0372098711457075,14957,16295
1110.31402183771,-0.0457516065690222,14762,16402
1113.97681145757,-0.0485716256041677,14552,16274
1117.63522138245,-0.0556880123376453,14246,16195
1121.28925161234,-0.0609315528044438,14135,16264
