***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.4,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,16.19,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1560,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T16:27:50,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.1475892,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 41min 43sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0522010815899644,3907,4406
904.71879766459,-0.0463817048832396,4241,4719
909.91882846218,-0.0652181615693889,4783,5558
913.813741916224,-0.0593245674775246,5247,6015
917.704275675283,-0.0492367225122437,5806,6503
921.590429739357,-0.0238230477873736,6615,6988
925.472204108447,-0.0318744047041069,7301,7857
929.349598782552,-0.0313758908813237,8062,8666
933.222613761673,-0.0533466417975159,8753,9897
937.091249045809,-0.0495709508217793,9445,10587
942.242616565792,-0.0478811841905307,10098,11275
946.101032561631,-0.0457574905606751,10737,11930
949.955068862485,-0.0445485870450929,11368,12596
953.804725468354,-0.0473495295461471,11763,13118
957.650002379239,-0.0481480924151506,12410,13865
961.490899595139,-0.0523696025953545,12828,14472
965.327417116055,-0.0417238419149849,13467,14825
969.159554941986,-0.0374883386943198,14109,15381
972.987313072933,-0.0371456815355353,14704,16017
978.084177721996,-0.0454457315300305,15329,17020
981.901716564645,-0.0422379962106035,15958,17588
985.71487571231,-0.0358701579835004,16260,17660
989.52365516499,-0.0386947057948459,16837,18406
993.328054922685,-0.0443500899679028,17123,18964
997.128074985396,-0.035439984901284,17383,18861
1000.92371535312,-0.0361984273872038,17694,19232
1004.71497602586,-0.0340065352730439,18011,19478
1009.76317739732,-0.0324835742537962,17949,19343
1013.54421878176,-0.0337298836045253,18016,19471
1017.32088047122,-0.0344054432460943,18085,19576
1021.0931624657,-0.0375347166614457,18112,19747
1024.86106476519,-0.0299134538538082,18035,19321
1028.62458736969,-0.0360086134676069,18011,19568
1032.38373027922,-0.0391901528304788,17917,19609
1036.13849349375,-0.0434171665469035,17900,19782
1039.8888770133,-0.0371012771854269,17918,19516
1044.88257551384,-0.0325975707959676,17948,19347
1048.6227397451,-0.0363956973417164,17697,19244
1052.35852428137,-0.039750856486741,17684,19379
1056.08992912265,-0.0401822742489827,17671,19384
1059.81695426895,-0.0409371428412914,17603,19343
1063.53959972027,-0.0312997268090394,17650,18969
1067.2578654766,-0.0406331945632288,17690,19425
1070.97175153795,-0.0366824057205025,17723,19285
1075.91678676088,-0.0293117758036305,17702,18938
1079.62045353393,-0.0298142510349996,17689,18946
1083.31974061199,-0.0337242125884023,17821,19260
1087.01464799507,-0.0320851280239925,17763,19125
1090.70517568317,-0.035791763430202,17694,19214
1094.39132367628,-0.0226230082064887,17785,18736
