***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,30.03,,,,,,System Temp (C):,25.5,,,,,,,
Humidity (%):,35.66,,,,,,Humidity (%):,46.33,,,,,,,
Lamp Intensity:,1524,,,,,,Lamp Intensity:,1459,,,,,,,
Data Date-Time:,2021/10/29T15:14:44,,,,,,Data Date-Time:,2021/10/29T14:59:55,,,,,,,
Total Measurement Time in sec:,3.1621655,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 43min 0sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0549698798207844,3461,3928
904.71879766459,-0.0388363164805936,3795,4150
909.91882846218,-0.0599334587993829,4129,4740
913.813741916224,-0.0594460726272019,4547,5214
917.704275675283,-0.0523960293295925,4960,5596
921.590429739357,-0.0574309303970686,5616,6410
925.472204108447,-0.0500065960166482,6367,7144
929.349598782552,-0.0497269733681545,7188,8060
933.222613761673,-0.0573311419482082,7646,8725
937.091249045809,-0.052564183355784,8293,9360
942.242616565792,-0.0474458914963067,9165,10223
946.101032561631,-0.0577404669979841,9501,10852
949.955068862485,-0.0638170895775833,9868,11430
953.804725468354,-0.0625739714887619,10324,11924
957.650002379239,-0.0652255781271736,10799,12549
961.490899595139,-0.0658789312079979,11227,13066
965.327417116055,-0.0619153790170793,11832,13645
969.159554941986,-0.0676121961283404,12205,14261
972.987313072933,-0.0651778067020043,12722,14782
978.084177721996,-0.0693389295099246,13165,15444
981.901716564645,-0.0668737928270288,13600,15864
985.71487571231,-0.0641814668329725,13977,16203
989.52365516499,-0.0712281544425485,14218,16752
993.328054922685,-0.0654526214950345,14558,16926
997.128074985396,-0.067657124529473,14836,17337
1000.92371535312,-0.0648230960007576,14965,17374
1004.71497602586,-0.066786380830621,15087,17595
1009.76317739732,-0.0650443357941281,15263,17729
1013.54421878176,-0.0639273112853514,15361,17797
1017.32088047122,-0.0632052073708165,15371,17779
1021.0931624657,-0.0600530496671952,15503,17802
1024.86106476519,-0.0614536540484902,15401,17742
1028.62458736969,-0.0635845346923989,15412,17842
1032.38373027922,-0.0620159567761146,15362,17720
1036.13849349375,-0.0644969739315062,15365,17825
1039.8888770133,-0.0630464058935748,15387,17791
1044.88257551384,-0.0629478872076222,15259,17639
1048.6227397451,-0.0613012393311847,15198,17502
1052.35852428137,-0.061958817735549,15162,17487
1056.08992912265,-0.0589915238934538,15135,17337
1059.81695426895,-0.0619077022749036,15071,17380
1063.53959972027,-0.0586676233300503,15093,17276
1067.2578654766,-0.0629038355440083,15001,17339
1070.97175153795,-0.064361572886489,15068,17475
1075.91678676088,-0.0611755010825617,15053,17330
1079.62045353393,-0.0599793045758128,15044,17272
1083.31974061199,-0.0648254147858918,14952,17359
1087.01464799507,-0.0621267122062572,15027,17338
1090.70517568317,-0.0635705951837709,15035,17405
1094.39132367628,-0.0629318529315883,14981,17317
1098.0730919744,-0.0639740247389755,15078,17471
1101.75048057755,-0.0662650215664895,14936,17398
1105.4234894857,-0.0665276365029802,14957,17433
1110.31402183771,-0.0707046196989932,14762,17372
1113.97681145757,-0.0770271218533257,14552,17376
1117.63522138245,-0.0854563248497425,14246,17344
1121.28925161234,-0.0886280331668771,14135,17335
1124.93890214725,-0.0874921862504066,14078,17220
1128.58417298717,-0.0912575104570448,13920,17175
1132.2250641321,-0.0919598836780284,13747,16989
