***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,33.31,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,16.16,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1570,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T16:06:32,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.167974,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 41min 10sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0253666833326493,3907,4142
904.71879766459,-0.00751252759151874,4241,4315
909.91882846218,-0.0171799908107982,4783,4976
913.813741916224,-0.0151286408353819,5247,5433
917.704275675283,-0.0094705104851681,5806,5934
921.590429739357,-0.00696865960993881,6615,6722
925.472204108447,-0.0144495430521061,7301,7548
929.349598782552,0.00248508529386188,8062,8016
933.222613761673,-0.0200703028825946,8753,9167
937.091249045809,-0.0266615004346716,9445,10043
942.242616565792,-0.026445297640434,10098,10732
946.101032561631,-0.00825344611242852,10737,10943
949.955068862485,-0.00903591952149406,11368,11607
953.804725468354,-0.0239530316217756,11763,12430
957.650002379239,-0.02037196817315,12410,13006
961.490899595139,-0.0236841795482917,12828,13547
965.327417116055,-0.0202869317402636,13467,14111
969.159554941986,-0.0069014638167614,14109,14335
972.987313072933,-0.00961016342010311,14704,15033
978.084177721996,-0.0116012568687278,15329,15744
981.901716564645,-0.0127119655161378,15958,16432
985.71487571231,-0.00128016152206976,16260,16308
989.52365516499,0.00175754716861648,16837,16769
993.328054922685,-0.00826534763576633,17123,17452
997.128074985396,0.00639272080251995,17383,17129
1000.92371535312,-0.00410406209492668,17694,17862
1004.71497602586,0.00321889328295011,18011,17878
1009.76317739732,0.00381548765974544,17949,17792
1013.54421878176,0.00753791328764909,18016,17706
1017.32088047122,-0.00160596977924106,18085,18152
1021.0931624657,-0.00255812633404846,18112,18219
1024.86106476519,0.0053790787505921,18035,17813
1028.62458736969,-0.000626479055011134,18011,18037
1032.38373027922,0.000339482024357459,17917,17903
1036.13849349375,-0.00707515939485971,17900,18194
1039.8888770133,-0.00448500869187041,17918,18104
1044.88257551384,0.00113876829727622,17948,17901
1048.6227397451,0.00436554905674814,17697,17520
1052.35852428137,-0.00711255317723611,17684,17976
1056.08992912265,0.00189653924570379,17671,17594
1059.81695426895,-0.00712074403306817,17603,17894
1063.53959972027,0.00624538321633002,17650,17398
1067.2578654766,0.00320332133963936,17690,17560
1070.97175153795,-0.00412165201906121,17723,17892
1075.91678676088,0.00560515199463449,17702,17475
1079.62045353393,0.00288208734088879,17689,17572
1083.31974061199,0.000390092189840974,17821,17805
1087.01464799507,-0.00195155968186165,17763,17843
1090.70517568317,-0.00407974753668599,17694,17861
1094.39132367628,0.00220330254826546,17785,17695
1098.0730919744,0.00120245476524411,17722,17673
