***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,26.02,,,,,,System Temp (C):,25.5,,,,,,,
Humidity (%):,46.26,,,,,,Humidity (%):,46.33,,,,,,,
Lamp Intensity:,1465,,,,,,Lamp Intensity:,1459,,,,,,,
Data Date-Time:,2021/10/29T15:00:36,,,,,,Data Date-Time:,2021/10/29T14:59:55,,,,,,,
Total Measurement Time in sec:,3.1556227,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 42min 23sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,0.00492159408904621,3461,3422
904.71879766459,0.00901921913577326,3795,3717
909.91882846218,0.00242593784012906,4129,4106
913.813741916224,-0.00276106157985959,4547,4576
917.704275675283,-0.00530854488414942,4960,5021
921.590429739357,-0.0109199794081575,5616,5759
925.472204108447,-0.00156600829455837,6367,6390
929.349598782552,-0.00301051033524428,7188,7238
933.222613761673,-0.00888296703947118,7646,7804
937.091249045809,-0.00146385662770152,8293,8321
942.242616565792,0.00769698296975312,9165,9004
946.101032561631,-0.00309723649050477,9501,9569
949.955068862485,-0.00464022306464574,9868,9974
953.804725468354,-0.00410307295891103,10324,10422
957.650002379239,-0.00595124756496692,10799,10948
961.490899595139,-0.00388951769989796,11227,11328
965.327417116055,-0.000660189357286606,11832,11850
969.159554941986,-0.00230677897379678,12205,12270
972.987313072933,-0.0050231556638731,12722,12870
978.084177721996,-0.00482244550456177,13165,13312
981.901716564645,-0.00608834011042008,13600,13792
985.71487571231,-0.00220053339414398,13977,14048
989.52365516499,-0.0061869813326865,14218,14422
993.328054922685,-0.000447249857834539,14558,14573
997.128074985396,-0.00352766899888296,14836,14957
1000.92371535312,-0.00421648440116346,14965,15111
1004.71497602586,-0.00369760925274914,15087,15216
1009.76317739732,-0.000284447535648721,15263,15273
1013.54421878176,-0.00461211969314237,15361,15525
1017.32088047122,-0.00402166454306529,15371,15514
1021.0931624657,-0.00379323261339122,15503,15639
1024.86106476519,-0.00451649011802092,15401,15562
1028.62458736969,-0.00495925670733167,15412,15589
1032.38373027922,-0.0057292653378349,15362,15566
1036.13849349375,-0.00424720633562183,15365,15516
1039.8888770133,-0.00171830698592226,15387,15448
1044.88257551384,-0.00506496357226856,15259,15438
1048.6227397451,-0.0051416567605755,15198,15379
1052.35852428137,-0.0022854649870814,15162,15242
1056.08992912265,-0.000544857620817951,15135,15154
1059.81695426895,-0.00575384554786637,15071,15272
1063.53959972027,-0.00206684260127168,15093,15165
1067.2578654766,-0.00677925649217461,15001,15237
1070.97175153795,-0.00390224939983613,15068,15204
1075.91678676088,-0.000663067146212153,15053,15076
1079.62045353393,-0.00253300787034494,15044,15132
1083.31974061199,-0.00479505263467443,14952,15118
1087.01464799507,-0.00437087455823233,15027,15179
1090.70517568317,-0.000461923310877573,15035,15051
1094.39132367628,-0.0056737444736467,14981,15178
