***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,31.9,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,17.78,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1553,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T15:49:51,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.1398905,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 40min 37sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.141594615866277,3907,5413
904.71879766459,-0.124195673801277,4241,5645
909.91882846218,-0.114090003818855,4783,6220
913.813741916224,-0.105644868092018,5247,6692
917.704275675283,-0.114759641530862,5806,7562
921.590429739357,-0.099958716134778,6615,8327
925.472204108447,-0.113609196865363,7301,9484
929.349598782552,-0.105127649780246,8062,10270
933.222613761673,-0.109342890665254,8753,11259
937.091249045809,-0.113571805052595,9445,12268
942.242616565792,-0.130260489475206,10098,13630
946.101032561631,-0.117904730946646,10737,14086
949.955068862485,-0.112754487267359,11368,14738
953.804725468354,-0.113548408671792,11763,15278
957.650002379239,-0.116118387182528,12410,16214
961.490899595139,-0.11702105692128,12828,16795
965.327417116055,-0.117104603882193,13467,17635
969.159554941986,-0.109260739070833,14109,18145
972.987313072933,-0.109738061443749,14704,18931
978.084177721996,-0.104543058084827,15329,19501
981.901716564645,-0.10293154216755,15958,20226
985.71487571231,-0.10794385711046,16260,20848
989.52365516499,-0.0946912250052861,16837,20939
993.328054922685,-0.0966715332388929,17123,21392
997.128074985396,-0.0967750791909679,17383,21722
1000.92371535312,-0.0940633327788575,17694,21973
1004.71497602586,-0.0930201392118539,18011,22313
1009.76317739732,-0.0972534607480682,17949,22454
1013.54421878176,-0.0887535514032944,18016,22101
1017.32088047122,-0.0803004593217471,18085,21758
1021.0931624657,-0.0805498452801884,18112,21803
1024.86106476519,-0.078880133588843,18035,21627
1028.62458736969,-0.0793982064660656,18011,21624
1032.38373027922,-0.0884856855750173,17917,21966
1036.13849349375,-0.0942231650898413,17900,22237
1039.8888770133,-0.100569019605525,17918,22587
1044.88257551384,-0.0968132127219311,17948,22430
1048.6227397451,-0.0956664814973146,17697,22058
1052.35852428137,-0.0931807855288358,17684,21916
1056.08992912265,-0.088617825254375,17671,21671
1059.81695426895,-0.0931685283486253,17603,21815
1063.53959972027,-0.0953817602318837,17650,21985
1067.2578654766,-0.0925179286582086,17690,21890
1070.97175153795,-0.0964049252836772,17723,22128
1075.91678676088,-0.101138586280595,17702,22344
1079.62045353393,-0.0972977562438704,17689,22131
1083.31974061199,-0.094010092565122,17821,22128
1087.01464799507,-0.101951441308098,17763,22463
1090.70517568317,-0.100887624532312,17694,22321
1094.39132367628,-0.101123784162486,17785,22448
1098.0730919744,-0.0995778519962555,17722,22289
1101.75048057755,-0.09917868624368,17833,22408
1105.4234894857,-0.0949611538208304,17823,22179
1110.31402183771,-0.105600405403901,17554,22386
1113.97681145757,-0.0997111590029467,17556,22087
1117.63522138245,-0.105378102304239,17410,22191
1121.28925161234,-0.109192119092203,17215,22136
1124.93890214725,-0.0993617305364178,17240,21672
1128.58417298717,-0.0993713847161477,17137,21543
1132.2250641321,-0.0961919139761078,17069,21301
1135.86157558206,-0.089787331620719,17090,21015
1140.70344465646,-0.0962872820824693,17308,21604
1144.32973681812,-0.0947814095383644,17344,21574
1147.95164928479,-0.104785584107705,17290,22008
1151.56918205647,-0.103564112377339,17345,22016
1155.18233513317,-0.10610347830681,17341,22140
1158.79110851489,-0.106203961474314,17207,21974
1162.39550220162,-0.102022924291425,17243,21809
1165.99551619337,-0.105678889991422,17209,21950
1169.59115049013,-0.105496023648898,17439,22234
1174.37851669362,-0.100102004596626,17487,22020
1177.96393170208,-0.0920206272548888,17597,21750
1181.54496701556,-0.0957838478537373,17608,21953
1185.12162263406,-0.092356850754653,18007,22274
1188.69389855757,-0.105939547274161,18059,23048
1192.2617947861,-0.10138003774108,18423,23267
1195.82531131964,-0.0993719035683623,18611,23396
1199.3844481582,-0.09623916007191,18918,23611
1204.12315108408,-0.101102624124911,19071,24070
1207.67206863434,-0.103075635493168,19569,24811
1211.21660648961,-0.109616417631903,19825,25517
1214.7567646499,-0.103656636554293,20184,25625
1218.29254311521,-0.097762638733552,20558,25748
1221.82394188553,-0.102201005228207,20771,26282
1225.35096096087,-0.103413044701074,21052,26712
1228.87360034122,-0.104120348986506,21301,27072
1232.39186002659,-0.108289419591827,21523,27618
1237.07606008155,-0.106290657790754,22020,28126
1240.58410047862,-0.104680742449726,22156,28195
1244.0877611807,-0.101797207092828,22533,28485
1247.58704218781,-0.107662303207521,22731,29126
1251.08194349992,-0.108772552884826,22975,29514
