***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.57,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,15.55,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1560,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T16:15:10,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.1447735,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 41min 15sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.120048138655794,3907,5151
904.71879766459,-0.118230954142796,4241,5568
909.91882846218,-0.100976893561404,4783,6035
913.813741916224,-0.0961312767236577,5247,6547
917.704275675283,-0.100218541928593,5806,7313
921.590429739357,-0.0941834384501041,6615,8217
925.472204108447,-0.100122150973503,7301,9194
929.349598782552,-0.0983083617739687,8062,10110
933.222613761673,-0.0983267357387795,8753,10977
937.091249045809,-0.104124024494963,9445,12004
942.242616565792,-0.111075528551032,10098,13041
946.101032561631,-0.10281559300611,10737,13605
949.955068862485,-0.104213836114683,11368,14451
953.804725468354,-0.104790727565916,11763,14973
957.650002379239,-0.104775343565777,12410,15796
961.490899595139,-0.107663603897969,12828,16437
965.327417116055,-0.106383816835634,13467,17205
969.159554941986,-0.101971642017782,14109,17843
972.987313072933,-0.0979484309141386,14704,18424
978.084177721996,-0.0959513489809898,15329,19119
981.901716564645,-0.0934014930343206,15958,19787
985.71487571231,-0.0958403216251442,16260,20275
989.52365516499,-0.0896846526446807,16837,20699
993.328054922685,-0.0933496803644887,17123,21229
997.128074985396,-0.0926368054412417,17383,21516
1000.92371535312,-0.0911879221756667,17694,21828
1004.71497602586,-0.092045860083979,18011,22263
1009.76317739732,-0.0961883721931564,17949,22399
1013.54421878176,-0.0902835877459276,18016,22179
1017.32088047122,-0.0920173050196094,18085,22353
1021.0931624657,-0.0914276914356901,18112,22356
1024.86106476519,-0.0905497200878192,18035,22216
1028.62458736969,-0.0876540586768039,18011,22039
1032.38373027922,-0.0906944353169836,17917,22078
1036.13849349375,-0.0893524482964488,17900,21989
1039.8888770133,-0.0901584515524297,17918,22052
1044.88257551384,-0.0882289176860832,17948,21991
1048.6227397451,-0.0871367897467038,17697,21629
1052.35852428137,-0.0901582110000305,17684,21764
1056.08992912265,-0.0868708054473619,17671,21584
1059.81695426895,-0.0888670621767172,17603,21600
1063.53959972027,-0.0880908918025146,17650,21619
1067.2578654766,-0.0832335367018684,17690,21427
1070.97175153795,-0.0899391774313643,17723,21801
1075.91678676088,-0.0888774729471804,17702,21722
1079.62045353393,-0.0824059726586583,17689,21385
1083.31974061199,-0.0846461725623366,17821,21656
1087.01464799507,-0.0890796077751684,17763,21807
1090.70517568317,-0.0903116053964665,17694,21784
1094.39132367628,-0.0893180597957883,17785,21846
1098.0730919744,-0.0903619170804817,17722,21821
1101.75048057755,-0.0873316814376134,17833,21805
1105.4234894857,-0.0882917117595905,17823,21841
1110.31402183771,-0.0984017733666755,17554,22018
1113.97681145757,-0.096989166328894,17556,21949
1117.63522138245,-0.101801539298441,17410,22009
1121.28925161234,-0.109172499274174,17215,22135
1124.93890214725,-0.105352094225605,17240,21973
1128.58417298717,-0.111634959325708,17137,22160
1132.2250641321,-0.110806418754452,17069,22030
1135.86157558206,-0.107761540439713,17090,21903
1140.70344465646,-0.103583170393824,17308,21970
1144.32973681812,-0.100778942920221,17344,21874
1147.95164928479,-0.102113359681084,17290,21873
1151.56918205647,-0.0973254549671847,17345,21702
1155.18233513317,-0.0958418100798138,17341,21623
1158.79110851489,-0.0969554415651807,17207,21511
1162.39550220162,-0.0908482811033728,17243,21255
1165.99551619337,-0.0944957553311912,17209,21392
1169.59115049013,-0.0888110115469288,17439,21396
