***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,31.42,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,18.35,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1546,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T15:43:16,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.1526679,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 40min 24sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0791441917852498,3907,4688
904.71879766459,-0.0983617178608707,4241,5319
909.91882846218,-0.0858936744474808,4783,5829
913.813741916224,-0.0808747261294237,5247,6321
917.704275675283,-0.0667757823017695,5806,6771
921.590429739357,-0.0644919463387778,6615,7674
925.472204108447,-0.0654230224524966,7301,8488
929.349598782552,-0.0804184764730124,8062,9702
933.222613761673,-0.0788255144509288,8753,10495
937.091249045809,-0.0761821221688369,9445,11256
942.242616565792,-0.0841488197382355,10098,12257
946.101032561631,-0.084461242761774,10737,13042
949.955068862485,-0.0774395104832063,11368,13587
953.804725468354,-0.0835405133571018,11763,14258
957.650002379239,-0.0779254257501061,12410,14849
961.490899595139,-0.0831523063345904,12828,15535
965.327417116055,-0.0798150096414329,13467,16184
969.159554941986,-0.0784161682860063,14109,16901
972.987313072933,-0.0801204528861189,14704,17683
978.084177721996,-0.0806472880008626,15329,18457
981.901716564645,-0.0705320848033919,15958,18772
985.71487571231,-0.0756726343969245,16260,19355
989.52365516499,-0.0702469127656051,16837,19793
993.328054922685,-0.0648583686317436,17123,19881
997.128074985396,-0.0686743737425632,17383,20361
1000.92371535312,-0.066841585182071,17694,20638
1004.71497602586,-0.0546242389798497,18011,20425
1009.76317739732,-0.0648366170992727,17949,20839
1013.54421878176,-0.0649448245883679,18016,20922
1017.32088047122,-0.0637618515995998,18085,20945
1021.0931624657,-0.0619096572309722,18112,20887
1024.86106476519,-0.06612382827677,18035,21001
1028.62458736969,-0.0684151813183164,18011,21084
1032.38373027922,-0.0681052639706581,17917,20959
1036.13849349375,-0.0658987828772189,17900,20833
1039.8888770133,-0.065358036748853,17918,20828
1044.88257551384,-0.0638593175535228,17948,20791
1048.6227397451,-0.0688043888112266,17697,20735
1052.35852428137,-0.0659492669684538,17684,20584
1056.08992912265,-0.0649162295593116,17671,20520
1059.81695426895,-0.0614170121889421,17603,20277
1063.53959972027,-0.0640547741105512,17650,20455
1067.2578654766,-0.0636657320907983,17690,20483
1070.97175153795,-0.0607095597721134,17723,20382
1075.91678676088,-0.0641973468616191,17702,20522
1079.62045353393,-0.0659108776439603,17689,20588
1083.31974061199,-0.0606310831197995,17821,20491
1087.01464799507,-0.0604330684573533,17763,20415
1090.70517568317,-0.0639066525069079,17694,20499
1094.39132367628,-0.0619329650979013,17785,20511
