***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.67,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,15.95,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1557,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T15:59:30,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.153064,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 40min 50sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0151824672100014,3907,4046
904.71879766459,-0.0366093177253651,4241,4614
909.91882846218,-0.0235049898235222,4783,5049
913.813741916224,-0.0217131933054731,5247,5516
917.704275675283,-0.00961686077531575,5806,5936
921.590429739357,-0.0114678287123765,6615,6792
925.472204108447,-0.0110994692586787,7301,7490
929.349598782552,-0.0257772200600867,8062,8555
933.222613761673,-0.0195962857192922,8753,9157
937.091249045809,-0.0227956741501519,9445,9954
942.242616565792,-0.0358920754219888,10098,10968
946.101032561631,-0.0413301694937153,10737,11809
949.955068862485,-0.029927565552233,11368,12179
953.804725468354,-0.0350942626669161,11763,12753
957.650002379239,-0.0332681919563518,12410,13398
961.490899595139,-0.0405979000653894,12828,14085
965.327417116055,-0.0397566458876171,13467,14758
969.159554941986,-0.0404149762270637,14109,15485
972.987313072933,-0.0414356442048898,14704,16176
978.084177721996,-0.0413437460701849,15329,16860
981.901716564645,-0.0340371680080965,15958,17259
985.71487571231,-0.0403229937753129,16260,17842
989.52365516499,-0.0358065007215994,16837,18284
993.328054922685,-0.0339204027142494,17123,18514
997.128074985396,-0.0378968108015658,17383,18968
1000.92371535312,-0.0344561333836548,17694,19155
1004.71497602586,-0.0307614247182255,18011,19333
1009.76317739732,-0.0402495695390092,17949,19692
1013.54421878176,-0.0397987649013108,18016,19745
1017.32088047122,-0.0384464481321334,18085,19759
1021.0931624657,-0.0373807388254405,18112,19740
1024.86106476519,-0.04308597094904,18035,19916
1028.62458736969,-0.0454053018559492,18011,19996
1032.38373027922,-0.0479817949460541,17917,20010
1036.13849349375,-0.0440533669978652,17900,19811
1039.8888770133,-0.0436826264017301,17918,19814
1044.88257551384,-0.0426271947818427,17948,19799
1048.6227397451,-0.0478433302067413,17697,19758
1052.35852428137,-0.0451406315407066,17684,19621
1056.08992912265,-0.0458803565704638,17671,19640
1059.81695426895,-0.0432882568610657,17603,19448
1063.53959972027,-0.0431116929854156,17650,19492
1067.2578654766,-0.0385489535571198,17690,19332
1070.97175153795,-0.039465922550304,17723,19409
1075.91678676088,-0.0423239642415791,17702,19514
1079.62045353393,-0.0463659455367191,17689,19682
1083.31974061199,-0.0395477431305596,17821,19520
1087.01464799507,-0.0400280456959846,17763,19478
1090.70517568317,-0.0436760262541589,17694,19566
1094.39132367628,-0.0479691080328877,17785,19862
1098.0730919744,-0.0469444058516631,17722,19745
1101.75048057755,-0.049001397196326,17833,19963
1105.4234894857,-0.0468890843035523,17823,19855
1110.31402183771,-0.0560672079854565,17554,19973
1113.97681145757,-0.0551688817519872,17556,19934
1117.63522138245,-0.0590570435869361,17410,19946
1121.28925161234,-0.0656871847886644,17215,20026
1124.93890214725,-0.0684269403489956,17240,20182
1128.58417298717,-0.0690451400175646,17137,20090
1132.2250641321,-0.0706421343059932,17069,20084
1135.86157558206,-0.0672443734137306,17090,19952
1140.70344465646,-0.0599072647964991,17308,19868
1144.32973681812,-0.0610765419098648,17344,19963
1147.95164928479,-0.0561418206133712,17290,19676
1151.56918205647,-0.0535025630070373,17345,19619
1155.18233513317,-0.0454693847228562,17341,19255
1158.79110851489,-0.0497621317546029,17207,19296
1162.39550220162,-0.0434872818551554,17243,19059
1165.99551619337,-0.0389101344946707,17209,18822
1169.59115049013,-0.0318732763210859,17439,18767
1174.37851669362,-0.0352146366078116,17487,18964
1177.96393170208,-0.0319413406314873,17597,18940
1181.54496701556,-0.0343217145934108,17608,19056
1185.12162263406,-0.0224885820767526,18007,18964
1188.69389855757,-0.0227907310310143,18059,19032
1192.2617947861,-0.0232912256876344,18423,19438
1195.82531131964,-0.0213326212332118,18611,19548
1199.3844481582,-0.0185819169410147,18918,19745
1204.12315108408,-0.0279988336561924,19071,20341
