***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,30.62,,,,,,System Temp (C):,25.5,,,,,,,
Humidity (%):,33.26,,,,,,Humidity (%):,46.33,,,,,,,
Lamp Intensity:,1531,,,,,,Lamp Intensity:,1459,,,,,,,
Data Date-Time:,2021/10/29T15:21:17,,,,,,Data Date-Time:,2021/10/29T14:59:55,,,,,,,
Total Measurement Time in sec:,3.1569413,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 43min 11sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0343661737450909,3461,3746
904.71879766459,-0.022305003418511,3795,3995
909.91882846218,-0.029773855367993,4129,4422
913.813741916224,-0.028553723862093,4547,4856
917.704275675283,-0.0394780847822478,4960,5432
921.590429739357,-0.0339046637656751,5616,6072
925.472204108447,-0.0240802143601351,6367,6730
929.349598782552,-0.0142638266308066,7188,7428
933.222613761673,-0.0321765689784579,7646,8234
937.091249045809,-0.0248323117711331,8293,8781
942.242616565792,-0.0249525603258865,9165,9707
946.101032561631,-0.0273682778172895,9501,10119
949.955068862485,-0.032344977332636,9868,10631
953.804725468354,-0.0319833184759232,10324,11113
957.650002379239,-0.0346909487345291,10799,11697
961.490899595139,-0.0381558943702954,11227,12258
965.327417116055,-0.0362841086491372,11832,12863
969.159554941986,-0.0395611395353968,12205,13369
972.987313072933,-0.0395515818088094,12722,13935
978.084177721996,-0.0440684947506116,13165,14571
981.901716564645,-0.0456393208395766,13600,15107
985.71487571231,-0.0399298364143051,13977,15323
989.52365516499,-0.0487224682245184,14218,15906
993.328054922685,-0.0455814459934414,14558,16169
997.128074985396,-0.0451921535300278,14836,16463
1000.92371535312,-0.045502033456619,14965,16618
1004.71497602586,-0.047145633841275,15087,16817
1009.76317739732,-0.0454529252346378,15263,16947
1013.54421878176,-0.0427502133836256,15361,16950
1017.32088047122,-0.0443339765814693,15371,17023
1021.0931624657,-0.0418177740814433,15503,17070
1024.86106476519,-0.0427466930557756,15401,16994
1028.62458736969,-0.0421809808169791,15412,16984
1032.38373027922,-0.042824418046373,15362,16954
1036.13849349375,-0.042637137946704,15365,16950
1039.8888770133,-0.0388785495595427,15387,16828
1044.88257551384,-0.0406183591495687,15259,16755
1048.6227397451,-0.0366965474194531,15198,16538
1052.35852428137,-0.0377527548953731,15162,16539
1056.08992912265,-0.0371328702150922,15135,16486
1059.81695426895,-0.0378389869541187,15071,16443
1063.53959972027,-0.0331988293685495,15093,16292
1067.2578654766,-0.0393058367376818,15001,16422
1070.97175153795,-0.0349837597197295,15068,16332
1075.91678676088,-0.034804271095236,15053,16309
1079.62045353393,-0.0350373780297576,15044,16308
1083.31974061199,-0.0359936924472237,14952,16244
1087.01464799507,-0.0327499481023738,15027,16204
1090.70517568317,-0.0355368810982972,15035,16317
1094.39132367628,-0.0366201557366153,14981,16299
1098.0730919744,-0.0336040047032139,15078,16291
1101.75048057755,-0.0336692254450297,14936,16140
1105.4234894857,-0.0409780614989167,14957,16437
1110.31402183771,-0.0426958953841439,14762,16287
1113.97681145757,-0.0496643920684665,14552,16315
1117.63522138245,-0.0575878279555788,14246,16266
1121.28925161234,-0.0622113999445452,14135,16312
1124.93890214725,-0.0660909845259092,14078,16392
